region,tech,step,FOMCost
21,3,1,6900
21,3,2,6900
21,3,3,6900
21,4,1,12100
21,4,2,12100
21,4,3,12100
21,5,1,5000
21,6,1,156200
21,7,1,261200
21,8,1,150600
21,9,1,5000
21,10,1,33500
21,10,2,33500
21,11,1,5000
21,12,1,40000
21,13,1,154000
21,14,1,33100
21,15,1,20200
21,15,2,5000
22,1,1,61600
22,1,2,61600
22,1,3,61600
22,2,1,5000
22,2,2,5000
22,2,3,5000
22,3,1,6900
22,3,2,6900
22,3,3,6900
22,4,1,12100
22,4,2,12100
22,4,3,12100
22,5,1,5000
22,6,1,156200
22,7,1,261200
22,8,1,150600
22,9,1,5000
22,10,1,33500
22,10,2,33500
22,11,1,5000
22,12,1,40000
22,13,1,154000
22,14,1,33100
22,15,1,20200
22,15,2,5000
23,1,1,61600
23,1,2,61600
23,1,3,61600
23,2,1,5000
23,2,2,5000
23,2,3,5000
23,3,1,6900
23,3,2,6900
23,3,3,6900
23,4,1,12100
23,4,2,12100
23,4,3,12100
23,5,1,5000
23,6,1,156200
23,7,1,261200
23,8,1,150600
23,9,1,5000
23,10,1,33500
23,10,2,33500
23,11,1,5000
23,12,1,40000
23,13,1,154000
23,14,1,33100
23,15,1,20200
23,15,2,5000
24,1,1,61600
24,1,2,61600
24,1,3,61600
24,2,1,5000
24,2,2,5000
24,2,3,5000
24,3,1,6900
24,3,2,6900
24,3,3,6900
24,4,1,12100
24,4,2,12100
24,4,3,12100
24,5,1,5000
24,6,1,156200
24,7,1,261200
24,8,1,150600
24,9,1,5000
24,10,1,33500
24,10,2,33500
24,11,1,5000
24,12,1,40000
24,13,1,154000
24,14,1,33100
24,15,1,20200
24,15,2,5000
25,1,1,61600
25,1,2,61600
25,1,3,61600
25,2,1,5000
25,2,2,5000
25,2,3,5000
25,3,1,6900
25,3,2,6900
25,3,3,6900
25,4,1,12100
25,4,2,12100
25,4,3,12100
25,5,1,5000
25,6,1,156200
25,7,1,261200
25,8,1,150600
25,9,1,5000
25,10,1,33500
25,10,2,33500
25,11,1,5000
25,12,1,40000
25,13,1,154000
25,14,1,33100
25,15,1,20200
25,15,2,5000
