region,region1,year,TranCost
1,22,2025,1
1,22,2026,1
1,22,2027,1
1,22,2028,1
1,22,2029,1
1,22,2030,1
1,22,2031,1
1,22,2032,1
1,22,2033,1
1,22,2034,1
1,22,2035,1
1,22,2036,1
1,22,2037,1
1,22,2038,1
1,22,2039,1
1,22,2040,1
1,22,2041,1
1,22,2042,1
1,22,2043,1
1,22,2044,1
1,22,2045,1
1,22,2046,1
1,22,2047,1
1,22,2048,1
1,22,2049,1
1,22,2050,1
1,23,2023,1
1,23,2024,1
1,23,2025,1
1,23,2026,1
1,23,2027,1
1,23,2028,1
1,23,2029,1
1,23,2030,1
1,23,2031,1
1,23,2032,1
1,23,2033,1
1,23,2034,1
1,23,2035,1
1,23,2036,1
1,23,2037,1
1,23,2038,1
1,23,2039,1
1,23,2040,1
1,23,2041,1
1,23,2042,1
1,23,2043,1
1,23,2044,1
1,23,2045,1
1,23,2046,1
1,23,2047,1
1,23,2048,1
1,23,2049,1
1,23,2050,1
1,24,2023,1
1,24,2024,1
1,24,2025,1
1,24,2026,1
1,24,2027,1
1,24,2028,1
1,24,2029,1
1,24,2030,1
1,24,2031,1
1,24,2032,1
1,24,2033,1
1,24,2034,1
1,24,2035,1
1,24,2036,1
1,24,2037,1
1,24,2038,1
1,24,2039,1
1,24,2040,1
1,24,2041,1
1,24,2042,1
1,24,2043,1
1,24,2044,1
1,24,2045,1
1,24,2046,1
1,24,2047,1
1,24,2048,1
1,24,2049,1
1,24,2050,1
1,25,2023,1
1,25,2024,1
1,25,2025,1
1,25,2026,1
1,25,2027,1
1,25,2028,1
1,25,2029,1
1,25,2030,1
1,25,2031,1
1,25,2032,1
1,25,2033,1
1,25,2034,1
1,25,2035,1
1,25,2036,1
1,25,2037,1
1,25,2038,1
1,25,2039,1
1,25,2040,1
1,25,2041,1
1,25,2042,1
1,25,2043,1
1,25,2044,1
1,25,2045,1
1,25,2046,1
1,25,2047,1
1,25,2048,1
1,25,2049,1
1,25,2050,1
2,1,2023,1
2,1,2024,1
2,1,2025,1
2,1,2026,1
2,1,2027,1
2,1,2028,1
2,1,2029,1
2,1,2030,1
2,1,2031,1
2,1,2032,1
2,1,2033,1
2,1,2034,1
2,1,2035,1
2,1,2036,1
2,1,2037,1
2,1,2038,1
2,1,2039,1
2,1,2040,1
2,1,2041,1
2,1,2042,1
2,1,2043,1
2,1,2044,1
2,1,2045,1
2,1,2046,1
2,1,2047,1
2,1,2048,1
2,1,2049,1
2,1,2050,1
2,2,2023,1
2,2,2024,1
2,2,2025,1
2,2,2026,1
2,2,2027,1
2,2,2028,1
2,2,2029,1
2,2,2030,1
2,2,2031,1
2,2,2032,1
2,2,2033,1
2,2,2034,1
2,2,2035,1
2,2,2036,1
2,2,2037,1
2,2,2038,1
2,2,2039,1
2,2,2040,1
2,2,2041,1
2,2,2042,1
2,2,2043,1
2,2,2044,1
2,2,2045,1
2,2,2046,1
2,2,2047,1
2,2,2048,1
2,2,2049,1
2,2,2050,1
2,3,2023,1
2,3,2024,1
2,3,2025,1
2,3,2026,1
2,3,2027,1
2,3,2028,1
2,3,2029,1
2,3,2030,1
2,3,2031,1
2,3,2032,1
2,3,2033,1
2,3,2034,1
2,3,2035,1
2,3,2036,1
2,3,2037,1
2,3,2038,1
2,3,2039,1
2,3,2040,1
2,3,2041,1
2,3,2042,1
2,3,2043,1
2,3,2044,1
2,3,2045,1
2,3,2046,1
2,3,2047,1
2,3,2048,1
2,3,2049,1
2,3,2050,1
2,4,2023,1
2,4,2024,1
2,4,2025,1
2,4,2026,1
2,4,2027,1
2,4,2028,1
2,4,2029,1
2,4,2030,1
2,4,2031,1
2,4,2032,1
2,4,2033,1
2,4,2034,1
2,4,2035,1
2,4,2036,1
2,4,2037,1
2,4,2038,1
2,4,2039,1
2,4,2040,1
2,4,2041,1
2,4,2042,1
2,4,2043,1
2,4,2044,1
2,4,2045,1
2,4,2046,1
2,4,2047,1
2,4,2048,1
2,4,2049,1
2,4,2050,1
2,5,2023,1
2,5,2024,1
2,5,2025,1
2,5,2026,1
2,5,2027,1
2,5,2028,1
2,5,2029,1
2,5,2030,1
2,5,2031,1
2,5,2032,1
2,5,2033,1
2,5,2034,1
2,5,2035,1
2,5,2036,1
2,5,2037,1
2,5,2038,1
2,5,2039,1
2,5,2040,1
2,5,2041,1
2,5,2042,1
2,5,2043,1
2,5,2044,1
2,5,2045,1
2,5,2046,1
2,5,2047,1
2,5,2048,1
2,5,2049,1
2,5,2050,1
2,6,2023,1
2,6,2024,1
2,6,2025,1
2,6,2026,1
2,6,2027,1
2,6,2028,1
2,6,2029,1
2,6,2030,1
2,6,2031,1
2,6,2032,1
2,6,2033,1
2,6,2034,1
2,6,2035,1
2,6,2036,1
2,6,2037,1
2,6,2038,1
2,6,2039,1
2,6,2040,1
2,6,2041,1
2,6,2042,1
2,6,2043,1
2,6,2044,1
2,6,2045,1
2,6,2046,1
2,6,2047,1
2,6,2048,1
2,6,2049,1
2,6,2050,1
2,7,2023,1
2,7,2024,1
2,7,2025,1
2,7,2026,1
2,7,2027,1
2,7,2028,1
2,7,2029,1
2,7,2030,1
2,7,2031,1
2,7,2032,1
2,7,2033,1
2,7,2034,1
2,7,2035,1
2,7,2036,1
2,7,2037,1
2,7,2038,1
2,7,2039,1
2,7,2040,1
2,7,2041,1
2,7,2042,1
2,7,2043,1
2,7,2044,1
2,7,2045,1
2,7,2046,1
2,7,2047,1
2,7,2048,1
2,7,2049,1
2,7,2050,1
2,8,2023,1
2,8,2024,1
2,8,2025,1
2,8,2026,1
2,8,2027,1
2,8,2028,1
2,8,2029,1
2,8,2030,1
2,8,2031,1
2,8,2032,1
2,8,2033,1
2,8,2034,1
2,8,2035,1
2,8,2036,1
2,8,2037,1
2,8,2038,1
2,8,2039,1
2,8,2040,1
2,8,2041,1
2,8,2042,1
2,8,2043,1
2,8,2044,1
2,8,2045,1
