region,tech,year,step,CapCost
3,1,2042,3,2303920
3,1,2043,3,2229600
3,1,2044,3,2155280
3,1,2045,3,2080960
3,1,2046,3,2006640
3,1,2047,3,1932320
3,1,2048,3,1858000
3,1,2049,3,1783680
3,1,2050,3,1709360
3,3,2023,3,757000
3,3,2024,3,741860
3,3,2025,3,726720
3,3,2026,3,711580
3,3,2027,3,696440
3,3,2028,3,681300
3,3,2029,3,666160
3,3,2030,3,651020
3,3,2031,3,635880
3,3,2032,3,620740
3,3,2033,3,605600
3,3,2034,3,590460
3,3,2035,3,575320
3,3,2036,3,560180
3,3,2037,3,545040
3,3,2038,3,529900
3,3,2039,3,514760
3,3,2040,3,499620
3,3,2041,3,484480
3,3,2042,3,469340
3,3,2043,3,454200
3,3,2044,3,439060
3,3,2045,3,423920
3,3,2046,3,408780
3,3,2047,3,393640
3,3,2048,3,378500
3,3,2049,3,363360
3,3,2050,3,348220
3,4,2023,3,786000
3,4,2024,3,770280
3,4,2025,3,754560
3,4,2026,3,738840
3,4,2027,3,723120
3,4,2028,3,707400
3,4,2029,3,691680
3,4,2030,3,675960
3,4,2031,3,660240
3,4,2032,3,644520
3,4,2033,3,628800
3,4,2034,3,613080
3,4,2035,3,597360
3,4,2036,3,581640
3,4,2037,3,565920
3,4,2038,3,550200
3,4,2039,3,534480
3,4,2040,3,518760
3,4,2041,3,503040
3,4,2042,3,487320
3,4,2043,3,471600
3,4,2044,3,455880
3,4,2045,3,440160
3,4,2046,3,424440
3,4,2047,3,408720
3,4,2048,3,393000
3,4,2049,3,377280
3,4,2050,3,361560
3,6,2023,1,7477000
3,6,2024,1,7327460
3,6,2025,1,7177920
3,6,2026,1,7028380
3,6,2027,1,6878840
3,6,2028,1,6729300
3,6,2029,1,6579760
3,6,2030,1,6430220
3,6,2031,1,6280680
3,6,2032,1,6131140
3,6,2033,1,5981600
3,6,2034,1,5832060
3,6,2035,1,5682520
3,6,2036,1,5532980
3,6,2037,1,5383440
3,6,2038,1,5233900
3,6,2039,1,5084360
3,6,2040,1,4934820
3,6,2041,1,4785280
3,6,2042,1,4635740
3,6,2043,1,4486200
3,6,2044,1,4336660
3,6,2045,1,4187120
3,6,2046,1,4037580
3,6,2047,1,3888040
3,6,2048,1,3738500
3,6,2049,1,3588960
3,6,2050,1,3439420
3,7,2023,1,4379000
3,7,2024,1,4291420
3,7,2025,1,4203840
3,7,2026,1,4116260
3,7,2027,1,4028680
3,7,2028,1,3941100
3,7,2029,1,3853520
3,7,2030,1,3765940
3,7,2031,1,3678360
3,7,2032,1,3590780
3,7,2033,1,3503200
3,7,2034,1,3415620
3,7,2035,1,3328040
3,7,2036,1,3240460
3,7,2037,1,3152880
3,7,2038,1,3065300
3,7,2039,1,2977720
3,7,2040,1,2890140
3,7,2041,1,2802560
3,7,2042,1,2714980
3,7,2043,1,2627400
3,7,2044,1,2539820
3,7,2045,1,2452240
3,7,2046,1,2364660
3,7,2047,1,2277080
3,7,2048,1,2189500
3,7,2049,1,2101920
3,7,2050,1,2014340
3,8,2023,1,2950000
3,8,2024,1,2891000
3,8,2025,1,2832000
3,8,2026,1,2773000
3,8,2027,1,2714000
3,8,2028,1,2655000
3,8,2029,1,2596000
3,8,2030,1,2537000
3,8,2031,1,2478000
3,8,2032,1,2419000
3,8,2033,1,2360000
3,8,2034,1,2301000
3,8,2035,1,2242000
3,8,2036,1,2183000
3,8,2037,1,2124000
3,8,2038,1,2065000
3,8,2039,1,2006000
3,8,2040,1,1947000
3,8,2041,1,1888000
3,8,2042,1,1829000
3,8,2043,1,1770000
3,8,2044,1,1711000
3,8,2045,1,1652000
3,8,2046,1,1593000
3,8,2047,1,1534000
3,8,2048,1,1475000
3,8,2049,1,1416000
3,8,2050,1,1357000
3,14,2023,1,1344000
3,14,2024,1,1317120
3,14,2025,1,1290240
3,14,2026,1,1263360
3,14,2027,1,1236480
3,14,2028,1,1209600
3,14,2029,1,1182720
3,14,2030,1,1155840
3,14,2031,1,1128960
3,14,2032,1,1102080
3,14,2033,1,1075200
3,14,2034,1,1048320
3,14,2035,1,1021440
3,14,2036,1,994560
3,14,2037,1,967680
3,14,2038,1,940800
3,14,2039,1,913920
3,14,2040,1,887040
3,14,2041,1,860160
3,14,2042,1,833280
3,14,2043,1,806400
3,14,2044,1,779520
3,14,2045,1,752640
3,14,2046,1,725760
3,14,2047,1,698880
3,14,2048,1,672000
3,14,2049,1,645120
3,14,2050,1,618240
3,15,2023,1,1361000
3,15,2024,1,1333780
3,15,2025,1,1306560
3,15,2026,1,1279340
3,15,2027,1,1252120
3,15,2028,1,1224900
3,15,2029,1,1197680
3,15,2030,1,1170460
3,15,2031,1,1143240
3,15,2032,1,1116020
3,15,2033,1,1088800
3,15,2034,1,1061580
3,15,2035,1,1034360
3,15,2036,1,1007140
3,15,2037,1,979920
3,15,2038,1,952700
3,15,2039,1,925480
3,15,2040,1,898260
3,15,2041,1,871040
3,15,2042,1,843820
3,15,2043,1,816600
3,15,2044,1,789380
3,15,2045,1,762160
3,15,2046,1,734940
3,15,2047,1,707720
3,15,2048,1,680500
3,15,2049,1,653280
3,15,2050,1,626060
4,1,2023,3,3716000
4,1,2024,3,3641680
4,1,2025,3,3567360
4,1,2026,3,3493040
4,1,2027,3,3418720
4,1,2028,3,3344400
4,1,2029,3,3270080
4,1,2030,3,3195760
4,1,2031,3,3121440
4,1,2032,3,3047120
4,1,2033,3,2972800
4,1,2034,3,2898480
4,1,2035,3,2824160
4,1,2036,3,2749840
4,1,2037,3,2675520
4,1,2038,3,2601200
4,1,2039,3,2526880
4,1,2040,3,2452560
4,1,2041,3,2378240
4,1,2042,3,2303920
4,1,2043,3,2229600
4,1,2044,3,2155280
4,1,2045,3,2080960
4,1,2046,3,2006640
4,1,2047,3,1932320
4,1,2048,3,1858000
4,1,2049,3,1783680
4,1,2050,3,1709360
4,3,2023,3,757000
4,3,2024,3,741860
4,3,2025,3,726720
4,3,2026,3,711580
4,3,2027,3,696440
4,3,2028,3,681300
4,3,2029,3,666160
4,3,2030,3,651020
4,3,2031,3,635880
4,3,2032,3,620740
4,3,2033,3,605600
4,3,2034,3,590460
4,3,2035,3,575320
4,3,2036,3,560180
4,3,2037,3,545040
4,3,2038,3,529900
4,3,2039,3,514760
4,3,2040,3,499620
4,3,2041,3,484480
4,3,2042,3,469340
4,3,2043,3,454200
4,3,2044,3,439060
4,3,2045,3,423920
4,3,2046,3,408780
4,3,2047,3,393640
4,3,2048,3,378500
4,3,2049,3,363360
4,3,2050,3,348220
4,4,2023,3,786000
4,4,2024,3,770280
4,4,2025,3,754560
4,4,2026,3,738840
4,4,2027,3,723120
4,4,2028,3,707400
4,4,2029,3,691680
4,4,2030,3,675960
4,4,2031,3,660240
4,4,2032,3,644520
4,4,2033,3,628800
4,4,2034,3,613080
4,4,2035,3,597360
4,4,2036,3,581640
4,4,2037,3,565920
4,4,2038,3,550200
4,4,2039,3,534480
4,4,2040,3,518760
4,4,2041,3,503040
4,4,2042,3,487320
4,4,2043,3,471600
4,4,2044,3,455880
4,4,2045,3,440160
4,4,2046,3,424440
4,4,2047,3,408720
4,4,2048,3,393000
4,4,2049,3,377280
4,4,2050,3,361560
4,6,2023,1,7477000
4,6,2024,1,7327460
4,6,2025,1,7177920
4,6,2026,1,7028380
4,6,2027,1,6878840
4,6,2028,1,6729300
4,6,2029,1,6579760
4,6,2030,1,6430220
4,6,2031,1,6280680
4,6,2032,1,6131140
4,6,2033,1,5981600
4,6,2034,1,5832060
4,6,2035,1,5682520
4,6,2036,1,5532980
4,6,2037,1,5383440
4,6,2038,1,5233900
4,6,2039,1,5084360
4,6,2040,1,4934820
4,6,2041,1,4785280
4,6,2042,1,4635740
4,6,2043,1,4486200
4,6,2044,1,4336660
4,6,2045,1,4187120
4,6,2046,1,4037580
4,6,2047,1,3888040
4,6,2048,1,3738500
4,6,2049,1,3588960
4,6,2050,1,3439420
4,7,2023,1,4379000
4,7,2024,1,4291420
4,7,2025,1,4203840
4,7,2026,1,4116260
4,7,2027,1,4028680
4,7,2028,1,3941100
4,7,2029,1,3853520
4,7,2030,1,3765940
4,7,2031,1,3678360
4,7,2032,1,3590780
4,7,2033,1,3503200
4,7,2034,1,3415620
4,7,2035,1,3328040
4,7,2036,1,3240460
4,7,2037,1,3152880
4,7,2038,1,3065300
4,7,2039,1,2977720
4,7,2040,1,2890140
4,7,2041,1,2802560
4,7,2042,1,2714980
4,7,2043,1,2627400
4,7,2044,1,2539820
4,7,2045,1,2452240
4,7,2046,1,2364660
4,7,2047,1,2277080
4,7,2048,1,2189500
4,7,2049,1,2101920
4,7,2050,1,2014340
4,8,2023,1,2950000
4,8,2024,1,2891000
4,8,2025,1,2832000
4,8,2026,1,2773000
4,8,2027,1,2714000
4,8,2028,1,2655000
4,8,2029,1,2596000
4,8,2030,1,2537000
4,8,2031,1,2478000
4,8,2032,1,2419000
4,8,2033,1,2360000
4,8,2034,1,2301000
4,8,2035,1,2242000
4,8,2036,1,2183000
4,8,2037,1,2124000
4,8,2038,1,2065000
4,8,2039,1,2006000
4,8,2040,1,1947000
4,8,2041,1,1888000
4,8,2042,1,1829000
4,8,2043,1,1770000
4,8,2044,1,1711000
4,8,2045,1,1652000
4,8,2046,1,1593000
4,8,2047,1,1534000
4,8,2048,1,1475000
4,8,2049,1,1416000
4,8,2050,1,1357000
4,14,2023,1,1344000
4,14,2024,1,1317120
4,14,2025,1,1290240
4,14,2026,1,1263360
4,14,2027,1,1236480
4,14,2028,1,1209600
4,14,2029,1,1182720
4,14,2030,1,1155840
4,14,2031,1,1128960
4,14,2032,1,1102080
4,14,2033,1,1075200
4,14,2034,1,1048320
4,14,2035,1,1021440
4,14,2036,1,994560
4,14,2037,1,967680
4,14,2038,1,940800
4,14,2039,1,913920
4,14,2040,1,887040
4,14,2041,1,860160
4,14,2042,1,833280
4,14,2043,1,806400
4,14,2044,1,779520
4,14,2045,1,752640
4,14,2046,1,725760
4,14,2047,1,698880
4,14,2048,1,672000
4,14,2049,1,645120
4,14,2050,1,618240
4,15,2023,1,1361000
4,15,2024,1,1333780
4,15,2025,1,1306560
4,15,2026,1,1279340
4,15,2027,1,1252120
4,15,2028,1,1224900
4,15,2029,1,1197680
4,15,2030,1,1170460
4,15,2031,1,1143240
4,15,2032,1,1116020
4,15,2033,1,1088800
4,15,2034,1,1061580
4,15,2035,1,1034360
4,15,2036,1,1007140
4,15,2037,1,979920
4,15,2038,1,952700
4,15,2039,1,925480
4,15,2040,1,898260
4,15,2041,1,871040
4,15,2042,1,843820
4,15,2043,1,816600
4,15,2044,1,789380
4,15,2045,1,762160
4,15,2046,1,734940
4,15,2047,1,707720
4,15,2048,1,680500
4,15,2049,1,653280
4,15,2050,1,626060
5,1,2023,3,3716000
5,1,2024,3,3641680
5,1,2025,3,3567360
5,1,2026,3,3493040
5,1,2027,3,3418720
5,1,2028,3,3344400
5,1,2029,3,3270080
5,1,2030,3,3195760
5,1,2031,3,3121440
5,1,2032,3,3047120
5,1,2033,3,2972800
5,1,2034,3,2898480
5,1,2035,3,2824160
5,1,2036,3,2749840
5,1,2037,3,2675520
5,1,2038,3,2601200
5,1,2039,3,2526880
5,1,2040,3,2452560
5,1,2041,3,2378240
5,1,2042,3,2303920
5,1,2043,3,2229600
5,1,2044,3,2155280
5,1,2045,3,2080960
5,1,2046,3,2006640
5,1,2047,3,1932320
5,1,2048,3,1858000
5,1,2049,3,1783680
