plant_name,plant_id,unit_id,generator_id,unique_id,state,region,technology,heat_rate_mmbtu_per_mwh,capacity_mw,region_id,co2_short_ton_per_mwh
USSteel(EdgarThomson),50732,ETBLR2,GEN2,50732-ETBLR2-GEN2,PA,PJM,GasSteam,10.5,25.0,PJM_PPL,0.6141299703
USSteel(EdgarThomson),50732,ETBLR3,GEN1,50732-ETBLR3-GEN1,PA,PJM,GasSteam,10.5,25.0,PJM_PPL,0.6141299703
USSteel(EdgarThomson),50732,ETBLR3,GEN2,50732-ETBLR3-GEN2,PA,PJM,GasSteam,10.5,25.0,PJM_PPL,0.6141299703
SterlingPowerPlant,50744,1,GEN2,50744-1-GEN2,NY,NYISO,GasCombinedCycle,8.58,16.5,NYISO_C,0.5018319186
SterlingPowerPlant,50744,1,GEN1,50744-1-GEN1,NY,NYISO,GasCombinedCycle,8.58,47.7,NYISO_C,0.5018319186
PantherCreekEnergyFacility,50776,1,GEN1,50776-1-GEN1,PA,PJM,Coal,7.45,94.0,PJM_PPL,0.7660349022
PantherCreekEnergyFacility,50776,2,GEN1,50776-2-GEN1,PA,PJM,Coal,7.45,94.0,PJM_PPL,0.7660349022
"OdysseyEnergyAlturaCogen,LLC",50815,ENG101,GEN1,50815-ENG101-GEN1,TX,MISO,GasCombinedCycle,5.52,84.9,OTHER,0.3228568987
"OdysseyEnergyAlturaCogen,LLC",50815,ENG101,GEN6,50815-ENG101-GEN6,TX,MISO,GasCombinedCycle,5.52,129.2,OTHER,0.3228568987
"OdysseyEnergyAlturaCogen,LLC",50815,ENG201,GEN6,50815-ENG201-GEN6,TX,MISO,GasCombinedCycle,5.52,129.2,OTHER,0.3228568987
"OdysseyEnergyAlturaCogen,LLC",50815,ENG201,GEN2,50815-ENG201-GEN2,TX,MISO,GasCombinedCycle,5.52,84.9,OTHER,0.3228568987
"OdysseyEnergyAlturaCogen,LLC",50815,ENG301,GEN3,50815-ENG301-GEN3,TX,MISO,GasCombinedCycle,5.04,84.9,OTHER,0.2947823857
"OdysseyEnergyAlturaCogen,LLC",50815,ENG301,GEN6,50815-ENG301-GEN6,TX,MISO,GasCombinedCycle,5.04,129.2,OTHER,0.2947823857
"OdysseyEnergyAlturaCogen,LLC",50815,ENG401,GEN6,50815-ENG401-GEN6,TX,MISO,GasCombinedCycle,5.04,129.2,OTHER,0.2947823857
"OdysseyEnergyAlturaCogen,LLC",50815,ENG401,GEN4,50815-ENG401-GEN4,TX,MISO,GasCombinedCycle,5.04,84.9,OTHER,0.2947823857
"OdysseyEnergyAlturaCogen,LLC",50815,ENG501,GEN5,50815-ENG501-GEN5,TX,MISO,GasCombinedCycle,5.04,84.9,OTHER,0.2947823857
"OdysseyEnergyAlturaCogen,LLC",50815,ENG501,GEN6,50815-ENG501-GEN6,TX,MISO,GasCombinedCycle,5.04,129.2,OTHER,0.2947823857
"OdysseyEnergyAlturaCogen,LLC",50815,ENG601,GEN6,50815-ENG601-GEN6,TX,MISO,GasCombinedCycle,5.04,129.2,OTHER,0.2947823857
"OdysseyEnergyAlturaCogen,LLC",50815,ENG601,GEN7,50815-ENG601-GEN7,TX,MISO,GasCombinedCycle,5.04,84.9,OTHER,0.2947823857
TESFilerCityStation,50835,1,GEN1,50835-1-GEN1,MI,PJM,Coal,6.43,70.0,MISO_LRZ7,0.6611549558
TESFilerCityStation,50835,2,GEN1,50835-2-GEN1,MI,PJM,Coal,6.43,70.0,MISO_LRZ7,0.6611549558
SalinasRiverCogenerationFacility,50865,1,K100,50865-1-K100,CA,OTHER,GasTurbine,13.5,38.9,OTHER,0.7895956761
NorthamptonGeneratingPlant,50888,NGC01,GEN1,50888-NGC01-GEN1,PA,PJM,Coal,12.24,125.0,PJM_PPL,1.258559356
YellowstoneEnergyLimitedPartnership,50931,BLR1,GEN1,50931-BLR1-GEN1,MT,OTHER,Other,,65.0,OTHER,
YellowstoneEnergyLimitedPartnership,50931,BLR2,GEN1,50931-BLR2-GEN1,MT,OTHER,Other,,65.0,OTHER,
HardeePowerStation,50949,CT2B,GEN5,50949-CT2B-GEN5,FL,FRCC,GasTurbine,12.82,86.5,FRCC_SYS,0.7498234495
SunnysideCogenerationAssociates,50951,1,GEN1,50951-1-GEN1,UT,OTHER,Coal,12.05,58.1,OTHER,1.239022895
ScrubgrassGeneratingPlant,50974,1,GEN1,50974-1-GEN1,PA,PJM,Coal,8.44,94.8,PJM_PPL,0.8678301442
ScrubgrassGeneratingPlant,50974,2,GEN1,50974-2-GEN1,PA,PJM,Coal,8.18,94.8,PJM_PPL,0.8410960402
CarrStreetGeneratingStation,50978,A,GEN3,50978-A-GEN3,NY,NYISO,GasCombinedCycle,6.16,27.8,NYISO_C,0.3602895826
CarrStreetGeneratingStation,50978,A,GEN1,50978-A-GEN1,NY,NYISO,GasCombinedCycle,6.16,48.8,NYISO_C,0.3602895826
CarrStreetGeneratingStation,50978,B,GEN2,50978-B-GEN2,NY,NYISO,GasCombinedCycle,6.37,48.8,NYISO_C,0.372572182
CarrStreetGeneratingStation,50978,B,GEN3,50978-B-GEN3,NY,NYISO,GasCombinedCycle,6.37,27.8,NYISO_C,0.372572182
