
year,region_id,scenario_id,fuel,price_per_mmbtu
2025,PJM_PENELEC,REF,GAS,2.54
2025,PJM_PENELEC,REF,COAL,2.2144
2025,PJM_PENELEC,REF,DISTILLATE,13.5966
2025,PJM_PENELEC,REF,RESIDUAL,9.1618
2025,PJM_PENELEC,REF,URANIUM,0.61
2025,PJM_PEPCO,REF,GAS,2.54
2025,PJM_PEPCO,REF,COAL,2.2144
2025,PJM_PEPCO,REF,DISTILLATE,13.5966
2025,PJM_PEPCO,REF,RESIDUAL,9.1618
2025,PJM_PEPCO,REF,URANIUM,0.61
2025,PJM_PPL,REF,GAS,2.54
2025,PJM_PPL,REF,COAL,2.2144
2025,PJM_PPL,REF,DISTILLATE,13.5966
2025,PJM_PPL,REF,RESIDUAL,9.1618
2025,PJM_PPL,REF,URANIUM,0.61
2025,PJM_PSEG,REF,GAS,2.54
2025,PJM_PSEG,REF,COAL,2.2144
2025,PJM_PSEG,REF,DISTILLATE,13.5966
2025,PJM_PSEG,REF,RESIDUAL,9.1618
2025,PJM_PSEG,REF,URANIUM,0.61
2025,PJM_RECO,REF,GAS,2.54
2025,PJM_RECO,REF,COAL,2.2144
2025,PJM_RECO,REF,DISTILLATE,13.5966
2025,PJM_RECO,REF,RESIDUAL,9.1618
2025,PJM_RECO,REF,URANIUM,0.61
2025,MISO_NORTH,REF,GAS,2.39
2025,MISO_NORTH,REF,COAL,2.2144
2025,MISO_NORTH,REF,DISTILLATE,13.5966
2025,MISO_NORTH,REF,RESIDUAL,9.1618
2025,MISO_NORTH,REF,URANIUM,0.61
2025,MISO_SOUTH,REF,GAS,2.39
2025,MISO_SOUTH,REF,COAL,2.2144
2025,MISO_SOUTH,REF,DISTILLATE,13.5966
2025,MISO_SOUTH,REF,RESIDUAL,9.1618
2025,MISO_SOUTH,REF,URANIUM,0.61
2025,MISO_LRZ1,REF,GAS,2.39
2025,MISO_LRZ1,REF,COAL,2.2144
2025,MISO_LRZ1,REF,DISTILLATE,13.5966
2025,MISO_LRZ1,REF,RESIDUAL,9.1618
2025,MISO_LRZ1,REF,URANIUM,0.61
2025,MISO_LRZ2,REF,GAS,2.39
2025,MISO_LRZ2,REF,COAL,2.2144
2025,MISO_LRZ2,REF,DISTILLATE,13.5966
2025,MISO_LRZ2,REF,RESIDUAL,9.1618
2025,MISO_LRZ2,REF,URANIUM,0.61
2025,MISO_LRZ3,REF,GAS,2.39
2025,MISO_LRZ3,REF,COAL,2.2144
2025,MISO_LRZ3,REF,DISTILLATE,13.5966
2025,MISO_LRZ3,REF,RESIDUAL,9.1618
2025,MISO_LRZ3,REF,URANIUM,0.61
2025,MISO_LRZ4,REF,GAS,2.39
2025,MISO_LRZ4,REF,COAL,2.2144
2025,MISO_LRZ4,REF,DISTILLATE,13.5966
2025,MISO_LRZ4,REF,RESIDUAL,9.1618
2025,MISO_LRZ4,REF,URANIUM,0.61
2025,MISO_LRZ6,REF,GAS,2.39
2025,MISO_LRZ6,REF,COAL,2.2144
2025,MISO_LRZ6,REF,DISTILLATE,13.5966
2025,MISO_LRZ6,REF,RESIDUAL,9.1618
2025,MISO_LRZ6,REF,URANIUM,0.61
2025,MISO_LRZ7,REF,GAS,2.39
2025,MISO_LRZ7,REF,COAL,2.2144
2025,MISO_LRZ7,REF,DISTILLATE,13.5966
2025,MISO_LRZ7,REF,RESIDUAL,9.1618
2025,MISO_LRZ7,REF,URANIUM,0.61
2025,MISO_LRZ8,REF,GAS,2.39
2025,MISO_LRZ8,REF,COAL,2.2144
2025,MISO_LRZ8,REF,DISTILLATE,13.5966
2025,MISO_LRZ8,REF,RESIDUAL,9.1618
2025,MISO_LRZ8,REF,URANIUM,0.61
2025,MISO_LRZ9,REF,GAS,2.39
2025,MISO_LRZ9,REF,COAL,2.2144
2025,MISO_LRZ9,REF,DISTILLATE,13.5966
2025,MISO_LRZ9,REF,RESIDUAL,9.1618
2025,MISO_LRZ9,REF,URANIUM,0.61
2025,SOCO_SYS,REF,GAS,2.39
2025,SOCO_SYS,REF,COAL,2.2144
2025,SOCO_SYS,REF,DISTILLATE,13.5966
2025,SOCO_SYS,REF,RESIDUAL,9.1618
2025,SOCO_SYS,REF,URANIUM,0.61
2025,TVA_SYS,REF,GAS,2.39
2025,TVA_SYS,REF,COAL,2.2144
2025,TVA_SYS,REF,DISTILLATE,13.5966
2025,TVA_SYS,REF,RESIDUAL,9.1618
2025,TVA_SYS,REF,URANIUM,0.61
2025,DUK_SYS,REF,GAS,2.39
2025,DUK_SYS,REF,COAL,2.2144
2025,DUK_SYS,REF,DISTILLATE,13.5966
2025,DUK_SYS,REF,RESIDUAL,9.1618
2025,DUK_SYS,REF,URANIUM,0.61
2025,SANTEE_COOPER_SYS,REF,GAS,2.39
2025,SANTEE_COOPER_SYS,REF,COAL,2.2144
2025,SANTEE_COOPER_SYS,REF,DISTILLATE,13.5966
2025,SANTEE_COOPER_SYS,REF,RESIDUAL,9.1618
2025,SANTEE_COOPER_SYS,REF,URANIUM,0.61
2025,SCEG_SYS,REF,GAS,2.39
2025,SCEG_SYS,REF,COAL,2.2144
2025,SCEG_SYS,REF,DISTILLATE,13.5966
2025,SCEG_SYS,REF,RESIDUAL,9.1618
2025,SCEG_SYS,REF,URANIUM,0.61
2025,ENTERGY_SYS,REF,GAS,2.39
2025,ENTERGY_SYS,REF,COAL,2.2144
