
Year,Region_ID,Scenario,Peak_Demand_MW
2026,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,10421.075
2027,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,10515.575
2028,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,10607.8
2029,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,10749.2
2030,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,10863.125
2031,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,11008.375
2032,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,11171.65
2033,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,11309.025
2034,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS,11454.625
2035,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),11601.170841701058
2036,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),11749.591531659466
2037,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),11899.91105592592
2038,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),12052.153707418956
2039,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),12206.344089850878
2040,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),12362.507121703942
2041,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),12520.668040257402
2042,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),12680.852405666052
2043,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),12843.086105090975
2044,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),13007.39535688313
2045,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),13173.806714820455
2046,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),13342.3470723992
2047,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),13513.043667180122
2048,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),13685.924085190316
2049,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),13861.016265381377
2050,FPC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPC_SYS (extrapolated),14038.348504144526
2025,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,32142.474
2026,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,32513.754
2027,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,32808.594000000005
2028,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,33096.336
2029,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,33537.504
2030,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,33892.950000000004
2031,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,34346.130000000005
2032,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,34855.548
2033,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,35284.158
2034,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS,35738.43
2035,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),36195.653026107306
2036,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),36658.725578777536
2037,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),37127.72249448888
2038,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),37602.71956714715
2039,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),38083.79356033474
2040,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),38571.0222197163
2041,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),39064.4842856031
2042,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),39564.259505678085
2043,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),40070.42864788385
2044,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),40583.07351347537
2045,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),41102.27695023983
2046,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),41628.12286588551
2047,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),42160.69624160199
2048,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),42700.0831457938
2049,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),43246.3707479899
2050,FPL_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand apportioned to FPL_SYS (extrapolated),43799.64733293093
2025,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,58869.0
2026,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,59549.0
2027,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,60089.0
2028,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,60616.0
2029,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,61424.0
2030,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,62075.0
2031,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,62905.0
2032,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,63838.0
2033,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,64623.0
2034,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand,65455.0
2035,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),66292.40480972033
2036,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),67140.52303805409
2037,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),67999.49174814812
2038,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),68869.44975667975
